Rows,brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
7454,bmw,3,automatic,16,diesel,1995,78000,2,720000,bangalore,16.07,181,5,
7455,maruti,swift,manual,13,petrol,1197,53080,1,440000,hyderabad,18.6,85.8,5,
7456,volkswagen,vento,manual,13,petrol,1598,66000,2,425000,pune,15.04,103.6,5,
7457,maruti,ertiga,manual,12,petrol,1373,25000,1,535000,ahmedabad,16.02,93.7,7,
7458,hyundai,grand,automatic,8,petrol,1197,36139,2,630000,coimbatore,18.9,82,5,
7459,hyundai,creta,manual,7,diesel,1582,44000,1,1250000,delhi,19.67,126.2,5,
7460,audi,a6,automatic,16,diesel,2967,50000,2,750000,ahmedabad,16.77,241.38,5,
7461,mahindra,xuv500,manual,8,diesel,1997,81177,1,1125000,delhi,16,140,7,
7462,ford,ecosport,automatic,8,petrol,1499,26000,1,765000,mumbai,16.05,110.4,5,
7463,hyundai,xcent,manual,8,diesel,1120,100000,1,450000,mumbai,24.4,71,5,
7464,volkswagen,vento,automatic,10,diesel,1498,75000,1,750000,hyderabad,21.21,103.2,5,
7465,mercedes-benz,s-class,automatic,20,petrol,2987,119859,1,710000,kochi,13,210,5,
7466,hyundai,i10,manual,14,petrol,1197,55980,1,225000,mumbai,20.36,78.9,5,
7467,audi,a4,automatic,9,diesel,1968,30000,1,2700000,hyderabad,17.11,174.33,5,
7468,hyundai,i20,manual,12,diesel,1396,49700,2,418000,pune,21.9,88.76,5,
7469,hyundai,verna,manual,11,diesel,1396,79000,1,650000,chennai,23.5,88.7,5,
7470,honda,city,manual,14,petrol,1497,65100,1,315000,delhi,17,118,5,
7471,maruti,ertiga,manual,8,diesel,1248,54161,1,764000,pune,25.47,88.5,7,
7472,maruti,alto,manual,13,petrol,796,28619,1,240000,hyderabad,19.7,46.3,5,
7473,maruti,wagon,automatic,8,petrol,998,9000,1,425000,mumbai,20.51,67,5,
7474,hyundai,verna,automatic,8,diesel,1582,42876,1,931000,kochi,19.08,126.2,5,
7475,maruti,alto,manual,13,petrol,796,64000,1,239000,bangalore,19.7,46.3,5,
7476,volkswagen,vento,manual,6,petrol,1598,20488,2,764000,kochi,16.09,103.5,5,
7477,maruti,baleno,manual,8,petrol,1197,21000,1,621000,delhi,21.4,83.1,5,
7478,land,rover,automatic,12,diesel,2179,119203,1,1650000,jaipur,0,115,5,
7479,honda,cr-v,automatic,13,petrol,1997,55987,1,822000,kochi,13.7,153.86,5,
7480,toyota,fortuner,manual,7,diesel,2755,72668,1,2885000,coimbatore,14.24,174.5,7,
7481,honda,city,automatic,9,petrol,1497,32000,1,850000,mumbai,15.6,116.3,5,
7482,honda,city,manual,9,petrol,1497,10400,1,651000,mumbai,17.4,117.3,5,
7483,maruti,swift,manual,11,diesel,1248,35000,1,465000,mumbai,22.9,74,5,
7484,toyota,corolla,automatic,11,petrol,1794,55101,1,840000,kochi,14.53,138.1,5,
7485,toyota,etios,manual,10,diesel,1364,57464,1,575000,bangalore,23.59,67.06,5,
7486,maruti,wagon,manual,18,petrol,998,110000,1,111000,jaipur,18.9,67.1,5,
7487,fiat,punto,manual,7,petrol,1197,17941,1,393000,kochi,15.7,74,,
7488,mercedes-benz,e-class,automatic,10,petrol,1991,72000,1,1725000,mumbai,12,184,5,
7489,jaguar,xf,automatic,12,diesel,2179,16000,1,3200000,delhi,16.36,187.7,5,
7490,hyundai,i20,manual,13,petrol,1197,62020,1,345000,kochi,17,80,5,
7491,land,rover,automatic,10,diesel,2179,85000,2,2300000,pune,12.39,147.51,5,
7492,hyundai,elite,manual,6,petrol,1197,14223,1,732000,kochi,18.6,81.86,5,
7493,honda,amaze,manual,10,petrol,1198,41210,1,440000,jaipur,18,86.7,5,
7494,mercedes-benz,m-class,automatic,9,diesel,2987,20000,1,4735000,bangalore,0,165,5,
7495,maruti,alto,manual,8,petrol,796,18043,1,412000,coimbatore,22.74,47.3,5,
7496,toyota,innova,automatic,8,diesel,2755,80000,1,1950000,chennai,11.36,171.5,7,
7497,hyundai,grand,automatic,8,petrol,1197,21000,1,620000,hyderabad,18.9,82,5,
7498,bmw,x3,automatic,8,diesel,2993,49000,1,4500000,bangalore,16.55,258,5,
7499,maruti,1000,manual,26,petrol,970,104000,2,85000,hyderabad,15,,5,
7500,hyundai,i20,manual,14,petrol,1197,95000,2,280000,chennai,18.5,80,5,
7501,hyundai,grand,automatic,9,petrol,1197,32000,1,480000,pune,18.9,82,5,
7502,hyundai,santro,manual,21,petrol,1197,80000,2,90000,pune,17,74,,
7503,ford,fiesta,manual,10,diesel,1498,122800,1,565000,hyderabad,25.01,89.75,5,
7504,mercedes-benz,e-class,manual,13,diesel,2148,78000,2,1450000,ahmedabad,15,,5,
7505,maruti,swift,manual,9,diesel,1248,69000,1,590000,ahmedabad,26.59,74,5,
7506,toyota,etios,manual,9,diesel,1364,65000,2,500000,pune,23.59,67.04,5,
7507,hyundai,xcent,manual,9,petrol,1197,23000,1,490000,ahmedabad,19.1,82,5,
7508,honda,civic,manual,15,petrol,1799,70000,1,425000,ahmedabad,13.5,130,5,
7509,toyota,innova,manual,10,diesel,2494,250000,1,1090000,chennai,12.99,100.6,8,
7510,hyundai,accent,manual,12,petrol,1495,56000,1,245000,delhi,13.2,94,5,
7511,maruti,alto,manual,11,petrol,796,30000,1,250000,pune,22.74,47.3,5,
7512,mercedes-benz,sl-class,automatic,14,petrol,5461,35000,1,2950000,kolkata,8.1,387.3,2,
7513,ford,ecosport,manual,11,diesel,1498,92250,2,575000,jaipur,22.7,89.84,5,
7514,hyundai,xcent,manual,6,petrol,1197,40000,1,500000,pune,20.14,81.86,5,
7515,skoda,rapid,automatic,10,petrol,1598,96848,1,462000,kochi,14.3,103.6,5,
7516,audi,q3,automatic,8,diesel,1968,42000,1,2350000,delhi,15.73,174.33,5,
7517,mahindra,xuv500,manual,11,diesel,2179,55886,1,725000,kolkata,16,140,7,
7518,hyundai,verna,manual,5,petrol,1591,12336,1,1188000,kochi,17,121.3,5,
7519,hyundai,verna,manual,15,petrol,1599,60000,3,225000,chennai,13.9,103.2,5,
7520,ford,ikon,manual,21,petrol,1597,83000,2,85000,pune,14.2,92,5,
7521,nissan,micra,manual,6,petrol,1198,24000,1,400000,pune,19.69,67.04,5,
7522,honda,brio,automatic,8,petrol,1198,32198,1,510000,pune,16.5,86.8,5,
7523,toyota,innova,manual,10,diesel,2494,92247,1,1250000,hyderabad,12.99,100.6,7,
7524,volkswagen,vento,manual,13,diesel,1498,121311,1,290000,chennai,20.64,108.5,5,
7525,mahindra,xuv500,manual,8,diesel,2179,66296,1,1596000,coimbatore,16,140,7,
7526,hyundai,xcent,automatic,9,petrol,1197,41000,1,545000,mumbai,16.9,82,5,
7527,ford,endeavour,manual,7,diesel,2198,38681,1,2386000,kochi,13.5,157.7,7,
7528,chevrolet,spark,manual,16,petrol,995,43761,1,175000,kochi,18,62,5,
7529,maruti,ertiga,manual,7,diesel,1248,17400,1,975000,hyderabad,24.52,88.5,7,
7530,honda,amaze,manual,11,diesel,1498,61510,1,475000,bangalore,25.8,98.6,5,
7531,honda,city,manual,10,petrol,1497,60000,1,625000,delhi,17.4,117.3,5,
7532,mini,cooper,automatic,10,diesel,1998,35165,2,2200000,bangalore,23.8,112,5,
7533,toyota,corolla,automatic,8,petrol,1794,41617,1,1414000,kochi,14.53,138.1,5,
7534,hyundai,santro,manual,19,petrol,1086,45000,1,95000,kolkata,17,,5,
7535,skoda,superb,automatic,10,petrol,1798,65000,1,1195000,delhi,13.7,157.75,5,
7536,maruti,wagon,manual,13,petrol,998,68000,1,250000,delhi,18.9,67.1,5,
7537,hyundai,i10,manual,11,petrol,1086,49000,1,275000,mumbai,19.81,68.05,5,
7538,tata,tiago,manual,5,petrol,1199,16698,1,585000,coimbatore,23.84,84,5,
7539,maruti,baleno,manual,8,petrol,1197,30965,1,625000,ahmedabad,21.4,83.1,5,
7540,volkswagen,vento,manual,10,petrol,1598,56058,1,495000,mumbai,15.04,103.2,5,
7541,hyundai,grand,manual,7,petrol,1197,15356,1,475000,pune,18.9,81.86,5,
7542,ford,figo,manual,11,diesel,1399,54000,1,255000,delhi,20,68.05,5,
7543,honda,civic,automatic,13,petrol,1799,47000,2,450000,pune,13.9,130.3,5,
7544,maruti,alto,manual,9,petrol,796,21652,1,301000,kochi,22.74,47.3,5,
7545,land,rover,automatic,8,diesel,1999,52000,1,4200000,hyderabad,15.68,177,5,
7546,audi,a6,automatic,14,diesel,2698,35010,1,1150000,kolkata,12.4,179.5,5,
7547,mercedes-benz,e-class,automatic,18,diesel,2987,76662,1,1099000,hyderabad,11,198.5,5,
7548,honda,city,automatic,15,petrol,1497,89000,1,371000,jaipur,17,118,5,
7549,honda,cr-v,automatic,18,petrol,2354,80000,3,200000,jaipur,10.1,152,5,
7550,maruti,ciaz,manual,6,diesel,1248,39023,1,948000,kochi,28.09,88.5,5,
7551,maruti,wagon,manual,20,petrol,998,62000,2,125000,jaipur,18.9,67.1,5,
7552,hyundai,creta,manual,9,diesel,1582,78046,1,1090000,jaipur,19.67,126.2,5,
7553,maruti,ciaz,manual,9,diesel,1248,34400,1,550000,kolkata,28.09,88.5,5,
7554,hyundai,eon,manual,8,petrol,814,64624,1,371000,coimbatore,21.1,55.2,5,
7555,maruti,ertiga,manual,10,petrol,1373,69192,1,625000,mumbai,16.02,93.7,7,
7556,volkswagen,vento,manual,12,diesel,1598,55000,1,490000,chennai,20.54,103.6,5,
7557,honda,city,manual,19,petrol,1493,81000,2,110000,mumbai,12.8,100,5,
7558,volkswagen,polo,manual,8,petrol,1198,36733,1,472000,kochi,16.47,73.9,5,
7559,maruti,alto,manual,7,cng,796,24310,1,370000,kochi,46.4816,40.3,4,
7560,mercedes-benz,gla,automatic,8,diesel,2143,43022,1,2485000,mumbai,17.9,136,5,
7561,hyundai,santa,manual,11,diesel,2199,74000,1,1225000,jaipur,14.66,194.3,7,
7562,maruti,swift,manual,10,diesel,1248,47000,1,390000,kolkata,22.9,74,5,
7563,hyundai,elite,manual,7,petrol,1197,37460,1,628000,kochi,18.6,81.86,5,
7564,mahindra,xylo,manual,13,diesel,2498,130000,1,275000,mumbai,14,112,8,
7565,hyundai,grand,manual,7,petrol,1197,31576,1,785000,coimbatore,18.9,82,5,
7566,volkswagen,vento,manual,13,petrol,1598,66000,1,295000,mumbai,15.04,103.6,5,
7567,honda,accord,automatic,16,petrol,2354,79000,2,485000,mumbai,11.7,177.6,5,
7568,mercedes-benz,s-class,automatic,13,diesel,2925,47140,2,3000000,bangalore,13.5,281.61,5,
7569,mercedes-benz,b,automatic,8,diesel,2143,36610,1,1990000,bangalore,15,107.3,5,
7570,hyundai,creta,manual,8,diesel,1582,93000,1,1080000,bangalore,20.5,126.2,5,
7571,maruti,alto,manual,17,petrol,796,52195,1,175000,hyderabad,19.7,46.3,5,
7572,audi,a3,automatic,8,diesel,1968,20003,1,1925000,mumbai,20.38,143,5,
7573,renault,duster,manual,11,diesel,1461,66314,1,550000,delhi,19.87,83.8,5,
7574,ford,fiesta,manual,15,diesel,1399,76000,1,275000,chennai,17.8,68,5,
7575,hyundai,creta,manual,9,diesel,1582,29000,1,1300000,bangalore,19.67,126.2,5,
7576,ford,figo,manual,13,diesel,1399,30000,1,320000,mumbai,20,68,5,
7577,volkswagen,polo,manual,11,petrol,1598,56526,1,584000,coimbatore,15.26,103.5,5,
7578,volvo,v40,automatic,9,diesel,1969,38000,2,2400000,hyderabad,16.8,150,5,
7579,hyundai,verna,automatic,12,diesel,1582,41000,1,625000,chennai,19.08,126.32,5,
7580,bmw,7,automatic,15,diesel,2993,53000,1,3600000,hyderabad,14.49,258,5,
7581,mitsubishi,lancer,manual,21,diesel,1998,125000,3,300000,chennai,14.8,68,5,
7582,toyota,fortuner,manual,14,diesel,2982,242000,1,1100000,chennai,11.5,171,7,
7583,maruti,ciaz,manual,9,diesel,1248,90000,1,650000,chennai,26.21,88.5,5,
7584,maruti,vitara,manual,6,diesel,1248,11000,1,940000,hyderabad,24.3,88.5,5,
7585,bmw,3,automatic,6,diesel,1995,21936,1,3792000,kochi,21.76,190,5,
7586,volkswagen,vento,automatic,11,petrol,1598,41000,1,525000,pune,14.4,103.6,5,
7587,hyundai,i20,manual,13,petrol,1197,47000,1,450000,chennai,17,80,5,
7588,bmw,x5,automatic,15,diesel,2993,110000,1,1800000,chennai,11,235,5,
7589,hyundai,xcent,manual,9,petrol,1197,45960,1,556000,coimbatore,19.1,82,5,
7590,mercedes-benz,e-class,automatic,11,diesel,2143,48000,1,2200000,bangalore,14.21,203,5,
7591,land,rover,automatic,13,diesel,2179,68000,1,2200000,hyderabad,12.39,147.51,5,
7592,hyundai,i10,manual,13,petrol,1197,41000,1,265000,mumbai,20.36,78.9,5,
7593,hyundai,verna,manual,11,diesel,1582,69573,2,585000,jaipur,22.32,126.32,5,
7594,volkswagen,jetta,manual,12,diesel,1968,115000,1,695000,chennai,19.33,138.1,5,
7595,mahindra,xuv500,manual,12,diesel,2179,47629,1,650000,kolkata,15.1,140,7,
7596,maruti,omni,manual,20,petrol,796,66624,3,85000,jaipur,19.7,35,8,
7597,skoda,superb,automatic,11,petrol,1798,80000,2,725000,delhi,14.67,177.46,5,
7598,maruti,swift,manual,12,diesel,1248,94868,1,450000,pune,22.9,74,5,
7599,mahindra,scorpio,manual,14,diesel,2179,76477,1,425000,mumbai,10.5,120,8,
7600,mercedes-benz,gla,automatic,8,petrol,1991,28000,1,2600000,chennai,13.7,183,5,
7601,mahindra,thar,manual,7,diesel,2498,28599,1,966000,coimbatore,16.55,105,6,
7602,renault,duster,manual,11,diesel,1461,45348,2,685000,bangalore,19.01,108.45,5,
7603,audi,q5,automatic,11,diesel,1968,80127,1,2368000,coimbatore,12.8,167.6,5,
7604,land,rover,automatic,11,diesel,2179,68000,2,1575000,delhi,12.39,147.51,5,
7605,volkswagen,vento,manual,12,diesel,1598,75000,3,350000,pune,20.54,103.6,5,
7606,bmw,5,automatic,18,petrol,2979,48000,2,699000,delhi,11.62,306,5,
7607,hyundai,elantra,manual,5,diesel,1582,41871,1,1557000,coimbatore,22.7,126.2,5,
7608,tata,sumo,manual,9,diesel,2956,84931,1,529000,coimbatore,15.3,83.8,7,
7609,datsun,redi-go,manual,8,petrol,799,15000,1,225000,kolkata,22.7,53.64,5,
7610,bmw,x5,automatic,15,diesel,2993,110000,1,2000000,chennai,11.7,245,5,
7611,bmw,6,automatic,13,petrol,4395,5900,1,4750000,mumbai,7.94,450,4,
7612,maruti,alto,manual,22,petrol,1061,103653,2,122000,chennai,18.9,47,5,
7613,volkswagen,polo,manual,12,petrol,1198,64806,1,365000,chennai,16.47,73.9,5,
7614,datsun,go,manual,8,petrol,1198,35000,1,310000,pune,20.62,67,7,
7615,hyundai,creta,manual,8,petrol,1591,40000,1,1150000,bangalore,15.29,121.3,5,
7616,maruti,alto,manual,9,petrol,998,23876,1,346000,kochi,24.07,67.1,5,
7617,hyundai,santa,manual,11,diesel,2199,67901,1,838000,coimbatore,14.66,194.3,7,
7618,volkswagen,polo,manual,10,diesel,1598,68865,1,480000,pune,15.11,103.6,5,
7619,honda,amaze,manual,10,diesel,1498,71000,2,450000,pune,25.8,98.6,5,
7620,maruti,esteem,manual,20,petrol,1298,95000,1,80000,chennai,15.9,,5,
7621,maruti,swift,manual,10,diesel,1248,25000,1,395000,kolkata,22.9,74,5,
7622,skoda,rapid,manual,12,diesel,1598,180000,1,365000,hyderabad,20.5,103.5,5,
7623,mercedes-benz,e-class,automatic,19,diesel,2987,131000,1,1000000,mumbai,11,198.5,5,
7624,mahindra,scorpio,manual,13,diesel,2179,65000,2,400000,delhi,12.05,120,8,
7625,nissan,sunny,manual,12,diesel,1461,117777,1,475000,hyderabad,21.64,84.8,5,
7626,maruti,swift,manual,15,petrol,1298,65000,2,310000,bangalore,17.5,85.8,5,
7627,hyundai,eon,manual,7,petrol,814,46897,1,361000,kochi,21.1,55.2,5,
7628,honda,brio,manual,9,petrol,1198,36695,1,429000,coimbatore,19.4,86.8,5,
7629,nissan,micra,manual,13,petrol,1198,43000,1,213000,kolkata,18.06,75,5,
7630,maruti,alto,manual,16,petrol,796,54000,1,110000,mumbai,19.7,46.3,5,
7631,bmw,3,automatic,13,diesel,1995,89000,1,1395000,hyderabad,22.69,190,5,
7632,volkswagen,polo,manual,10,petrol,1198,7000,1,535000,mumbai,16.47,74,5,
7633,maruti,celerio,manual,10,petrol,998,58470,1,390000,hyderabad,23.1,67.04,5,
7634,maruti,wagon,manual,10,petrol,1197,37000,1,280000,kolkata,21.5,81.8,5,
7635,maruti,ciaz,manual,8,diesel,1248,29000,1,875000,mumbai,26.21,88.5,5,
7636,audi,a4,automatic,11,diesel,1968,52000,1,1950000,hyderabad,16.55,147.51,5,
7637,honda,brio,manual,11,petrol,1198,32807,1,275000,kolkata,19.4,86.8,5,
7638,mahindra,scorpio,automatic,11,diesel,2179,86000,1,800000,hyderabad,11.79,120,8,
7639,honda,city,manual,10,diesel,1498,66500,1,570000,delhi,26,98.6,5,
7640,bmw,x1,automatic,12,diesel,1995,94000,1,1250000,ahmedabad,17.05,184,5,
7641,chevrolet,spark,manual,13,petrol,995,29000,2,175000,chennai,18,62,5,
7642,ford,figo,manual,14,diesel,1399,107389,2,190000,chennai,20,68,5,
7643,maruti,swift,manual,9,petrol,1197,36100,1,450000,ahmedabad,20.4,81.8,5,
7644,mercedes-benz,new,automatic,9,diesel,2143,16329,1,3030000,mumbai,19.27,170,5,
7645,skoda,octavia,automatic,10,diesel,1968,36000,1,1600000,hyderabad,19.3,141,5,
7646,bmw,x3,automatic,7,diesel,1995,41816,1,3278000,kochi,18.56,190,5,
7647,hyundai,eon,manual,9,petrol,814,54680,1,250000,jaipur,21.1,55.2,5,
7648,audi,a4,automatic,7,diesel,1968,14000,1,4300000,hyderabad,18.25,187.74,5,
7649,ford,figo,manual,7,petrol,1196,23977,1,538000,kochi,18.16,86.8,5,
7650,maruti,alto,manual,11,petrol,998,30131,1,265000,hyderabad,20.92,67.1,5,
7651,maruti,alto,manual,7,petrol,796,2530,1,330000,hyderabad,24.7,47.3,5,
7652,mercedes-benz,new,automatic,9,diesel,2143,39000,1,3400000,hyderabad,19.27,167.62,5,
7653,hyundai,santro,manual,23,petrol,1086,140000,3,70000,chennai,20.3,68,5,
7654,hyundai,xcent,manual,7,diesel,1120,32257,1,683000,kochi,24.4,71,5,
7655,honda,amaze,manual,8,diesel,1498,46983,1,577000,kochi,25.8,98.6,5,
7656,maruti,swift,manual,16,diesel,1248,107000,2,310000,chennai,17.8,75,5,
7657,volkswagen,polo,manual,7,petrol,1199,19000,1,495000,mumbai,16.2,74,5,
7658,audi,a4,automatic,11,diesel,1968,88000,1,1625000,bangalore,17.11,174.33,5,
7659,land,rover,automatic,12,diesel,4367,84384,1,5254000,coimbatore,10.2,308,7,
7660,mahindra,xuv500,manual,13,diesel,2179,128000,3,640000,chennai,16,140,7,
7661,ford,endeavour,manual,13,diesel,2499,71000,3,695000,bangalore,13.1,141,7,
7662,tata,indica,manual,16,diesel,1396,50000,1,85000,kolkata,17.2,53.5,5,
7663,maruti,baleno,manual,8,petrol,1197,16000,1,695000,chennai,21.4,83.1,5,
7664,hyundai,xcent,manual,7,diesel,1120,82000,1,345000,kolkata,24.4,71,5,
7665,honda,civic,manual,16,petrol,1799,80000,1,275000,delhi,13.5,130,5,
7666,hyundai,i20,manual,9,petrol,1197,36000,2,495000,delhi,18.6,81.83,5,
7667,tata,nexon,manual,6,petrol,1198,17477,1,962000,coimbatore,17,108.5,5,
7668,hyundai,i20,manual,8,petrol,1197,16725,1,679000,coimbatore,18.6,81.83,5,
7669,maruti,swift,manual,10,petrol,1197,48241,1,450000,mumbai,19.1,85.8,5,
7670,maruti,wagon,manual,10,petrol,998,52431,1,301000,kochi,22.5,67.04,5,
7671,hyundai,i20,manual,12,diesel,1396,68000,1,440000,bangalore,21.9,88.76,5,
7672,toyota,fortuner,automatic,12,diesel,2982,158000,1,1749000,hyderabad,12.55,168.5,7,
7673,hyundai,i10,manual,10,petrol,1197,31446,1,466000,coimbatore,20.36,78.9,5,
7674,hyundai,grand,manual,9,petrol,1197,25000,1,550000,chennai,18.9,82,5,
7675,hyundai,i20,manual,8,petrol,1197,57000,1,600000,ahmedabad,18.6,81.83,5,
7676,hyundai,santro,automatic,17,petrol,1086,76000,1,240000,hyderabad,17,,5,
7677,maruti,vitara,manual,6,diesel,1248,57078,1,1019000,kochi,24.3,88.5,5,
7678,honda,amaze,manual,8,diesel,1498,47471,1,525000,kochi,25.8,98.6,5,
7679,mercedes-benz,m-class,automatic,10,diesel,2143,50000,1,4500000,hyderabad,15.26,203.2,5,
7680,hyundai,i20,manual,14,diesel,1396,62000,1,270000,ahmedabad,23,90,5,
7681,hyundai,i10,manual,11,petrol,1086,65807,1,339000,coimbatore,19.81,68.05,5,
7682,maruti,swift,manual,10,diesel,1248,81768,1,569000,hyderabad,26.59,74,5,
7683,bmw,z4,automatic,6,petrol,2979,9952,1,5854000,kochi,10.37,306,2,
7684,maruti,baleno,manual,7,diesel,1248,24000,1,840000,hyderabad,27.39,74,5,
7685,chevrolet,beat,manual,12,diesel,936,72921,1,250000,hyderabad,25.44,57.6,5,
7686,honda,brio,manual,12,petrol,1198,59000,1,325000,pune,19.4,86.8,5,
7687,ford,figo,manual,10,diesel,1399,33000,2,325000,mumbai,20,68.05,5,
7688,maruti,celerio,automatic,8,petrol,998,36789,1,425000,pune,23.1,67.04,5,
7689,mercedes-benz,new,automatic,10,diesel,2143,41000,1,1850000,jaipur,14.84,170,5,
7690,hyundai,santro,automatic,17,petrol,1086,71000,1,240000,hyderabad,17,,5,
7691,honda,brio,manual,9,petrol,1198,46650,1,425000,jaipur,19.4,86.8,5,
7692,maruti,baleno,automatic,6,petrol,1197,3000,1,885000,mumbai,21.4,83.1,5,
7693,hyundai,eon,manual,10,petrol,814,14799,1,414000,coimbatore,21.1,55.2,5,
7694,toyota,prius,automatic,13,electric,1798,44000,1,1275000,mumbai,18.9,73,5,
7695,hyundai,i20,manual,9,diesel,1396,68525,1,700000,hyderabad,23,90,5,
7696,ford,endeavour,automatic,6,diesel,3198,15000,1,3300000,hyderabad,10.91,197,7,
7697,honda,city,manual,7,petrol,1497,29000,1,1000000,ahmedabad,17.4,117.3,5,
7698,maruti,sx4,manual,12,diesel,1248,77407,2,353000,kochi,21.5,88.8,5,
7699,chevrolet,optra,manual,17,petrol,1598,118000,1,135000,jaipur,12.9,102.5,5,
7700,volkswagen,vento,manual,11,diesel,1598,75000,1,450000,delhi,20.54,103.6,5,
7701,honda,city,manual,12,petrol,1497,69000,1,490000,pune,16.8,116.3,5,
7702,hyundai,creta,manual,8,diesel,1582,52553,1,1226000,kochi,19.67,126.2,5,
7703,hyundai,xcent,manual,10,diesel,1120,58000,2,399000,mumbai,24.4,71,5,
7704,mercedes-benz,glc,automatic,7,diesel,2143,24000,1,4695000,mumbai,17.9,170,5,
7705,ford,figo,manual,9,diesel,1399,65542,1,380000,hyderabad,20,68,5,
7706,volkswagen,jetta,manual,11,diesel,1896,68008,2,675000,ahmedabad,15,105,5,
7707,mahindra,tuv,manual,7,diesel,1493,22251,1,875000,coimbatore,18.49,100,7,
7708,ford,ecosport,manual,11,petrol,1499,55000,2,520000,chennai,15.8,110,5,
7709,hyundai,verna,manual,7,petrol,1591,19387,1,842000,kochi,17.1,121.3,5,
7710,maruti,wagon,manual,10,cng,998,58000,1,300000,pune,36.974,58.16,5,
7711,hyundai,i20,manual,8,petrol,1197,24001,1,575000,mumbai,18.6,81.83,5,
7712,audi,a4,automatic,16,diesel,1968,17000,1,975000,kolkata,15.2,140.8,5,
7713,nissan,micra,manual,9,petrol,1198,28500,1,350000,delhi,19.49,67.04,5,
7714,mercedes-benz,m-class,automatic,10,diesel,2143,66000,1,3000000,jaipur,15.26,203.2,5,
7715,land,rover,automatic,7,diesel,2179,22000,1,3500000,delhi,12.83,147.5,5,
7716,hyundai,creta,manual,6,petrol,1591,44383,1,1325000,coimbatore,15.8,121.3,5,
7717,skoda,rapid,manual,11,diesel,1598,45000,1,365000,mumbai,20.5,103.5,5,
7718,maruti,swift,manual,9,diesel,1248,58000,1,525000,jaipur,23.4,74,5,
7719,hyundai,creta,manual,8,petrol,1591,69000,1,970000,delhi,15.8,121.3,5,
7720,hyundai,grand,manual,7,diesel,1120,60993,1,521000,coimbatore,24,70,5,
7721,mahindra,tuv,manual,8,diesel,1493,67000,1,630000,pune,18.49,100,7,
7722,hyundai,grand,manual,10,diesel,1120,51134,1,472000,kochi,24,70,5,
7723,bmw,x5,automatic,13,diesel,2993,55000,2,2800000,chennai,11.7,245,5,
7724,maruti,dzire,automatic,6,diesel,1248,25082,1,837000,coimbatore,28.4,73.75,5,
7725,toyota,fortuner,manual,12,diesel,2982,68350,1,1400000,delhi,12.55,168.5,7,
7726,audi,a6,automatic,9,diesel,1968,50000,1,3600000,hyderabad,17.68,174.33,5,
7727,honda,jazz,manual,9,diesel,1498,97000,1,640000,pune,27.3,98.6,5,
7728,audi,q7,automatic,9,diesel,4134,56238,1,5169000,coimbatore,11.33,335.2,7,
7729,mahindra,scorpio,manual,10,diesel,2179,72618,1,800000,jaipur,12.05,120,7,
7730,chevrolet,cruze,manual,12,diesel,1991,62005,1,980000,hyderabad,18.3,147.9,5,
7731,chevrolet,beat,manual,12,diesel,936,61250,1,270000,hyderabad,25.44,57.6,5,
7732,audi,a4,automatic,10,diesel,1968,28469,1,2437000,coimbatore,18.25,187.74,5,
7733,skoda,rapid,automatic,6,petrol,1598,21488,1,972000,kochi,14.3,103.52,5,
7734,maruti,swift,manual,10,diesel,1248,197000,1,500000,pune,23.4,74,5,
7735,toyota,fortuner,manual,15,diesel,2982,138205,2,1050000,pune,11.5,171,7,
7736,maruti,swift,manual,12,diesel,1248,160000,2,390000,jaipur,22.9,74,5,
7737,honda,city,manual,12,petrol,1497,67590,1,565000,coimbatore,17,118,5,
7738,mercedes-benz,m-class,automatic,12,diesel,2143,52000,1,2995000,mumbai,15.26,203.2,5,
7739,maruti,swift,manual,16,diesel,1248,100000,2,300000,bangalore,17.8,75,5,
7740,ford,aspire,manual,7,diesel,1498,60048,1,600000,kolkata,26.1,99,5,
7741,hyundai,i10,manual,15,petrol,1197,48000,1,211000,mumbai,20.36,78.9,5,
7742,fiat,punto,manual,14,petrol,1197,47000,1,149000,kolkata,14.6,74,,
7743,maruti,alto,manual,13,petrol,796,100000,1,150000,jaipur,19.7,46.3,5,
7744,toyota,etios,manual,11,diesel,1364,62601,1,467000,coimbatore,23.59,,5,
7745,maruti,swift,manual,18,petrol,1197,80010,2,285000,bangalore,20.4,81.8,5,
7746,mercedes-benz,new,automatic,7,diesel,2143,26493,1,3364000,coimbatore,19.27,170,5,
7747,tata,indica,manual,13,diesel,1396,96000,2,91000,hyderabad,17.88,52.8,5,
7748,maruti,alto,manual,10,petrol,796,45700,2,242000,jaipur,22.74,47.3,5,
7749,skoda,superb,automatic,19,petrol,2771,13000,1,325000,kolkata,9.3,193.1,5,
7750,volkswagen,polo,manual,11,petrol,1198,38000,1,280000,kolkata,16.47,73.9,5,
7751,maruti,dzire,automatic,5,petrol,1197,8018,1,830000,coimbatore,22,81.8,5,
7752,mahindra,scorpio,manual,14,diesel,2179,144400,3,525000,bangalore,12.05,120,8,
7753,maruti,swift,manual,14,diesel,1248,152000,1,290000,jaipur,17.8,75,5,
7754,bmw,3,automatic,11,diesel,1995,71000,1,1500000,pune,18.88,184,5,
7755,tata,nano,manual,12,petrol,624,80000,2,53000,jaipur,25.4,37.5,4,
7756,toyota,innova,manual,10,diesel,2494,87143,1,1250000,mumbai,12.99,100,8,
